element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,18,"=""""","=""""","=""0.288103238""","=""0.000000003""","=""""","=""34709779.9""","=""""","=""2.0565e+12""",AA,"=""0.00000""","=""(4303.464241)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.291749237""","=""0.000000003""","=""""","=""34276010.8""","=""""","=""3.6034e+12""",AA,"=""0.00000""","=""(4249.683728)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.291770388""","=""0.000000003""","=""""","=""34273526.1""","=""""","=""3.5864e+12""",AA,"=""0.00000""","=""(4249.375665)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.298732543""","=""0.000000003""","=""""","=""33474759.3""","=""""","=""7.1479e+12""",AA,"=""0.00000""","=""(4150.341205)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.298775875""","=""0.000000005""","=""""","=""33469904.5""","=""""","=""7.1234e+12""",AA,"=""0.00000""","=""(4149.73928)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,17,"=""0.3137""","=""0.0007""","=""0.3128283""","=""0.0000020""","=""0.0009""","=""31880000""","=""0""","=""""",,"=""0.00000""","=""(3963.331)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,"=""""","=""L1845""",
Ar,18,"=""""","=""""","=""0.315022760""","=""0.000000007""","=""""","=""31743738.1""","=""""","=""1.7527e+13""",AA,"=""0.00000""","=""(3935.72192)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.315137049""","=""0.000000010""","=""""","=""31732225.8""","=""""","=""1.7512e+13""",AA,"=""0.00000""","=""(3934.29458)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,17,"=""0.3198""","=""0.0005""","=""0.3199710""","=""0.0000020""","=""-0.0002""","=""31270000""","=""13""","=""""",,"=""0.00000""","=""(3874.858)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,"=""""","=""L1845""",
Ar,17,"=""0.3362""","=""0.0003""","=""0.3365615""","=""0.0000005""","=""-0.0004""","=""29740000""","=""19""","=""""",,"=""0.00000""","=""(3683.850)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,"=""""","=""L1845""",
