Category,Label,Value,Links,Citations
Designations,Pronunciation,/ ˈ dʒ uː p ɪ t ər / ⓘ,https://en.wikipedia.org/wiki/Help:IPA/English,[2]
Designations,Named after,Jupiter,https://en.wikipedia.org/wiki/Jupiter_(god),
Designations,Adjectives,Jovian,"https://en.wiktionary.org/wiki/Jovian, https://en.wikipedia.org/wiki/Help:IPA/English",
Orbital characteristics[3],Aphelion,5.4570 AU,,
Orbital characteristics[3],Perihelion,4.9506 AU,,
Orbital characteristics[3],Semi-major axis,5.2038 AU,,
Orbital characteristics[3],Eccentricity,0.0489,,
Orbital characteristics[3],Orbital period (sidereal),"['11.862 yr', '4,332.59\xa0d', '10,476.8\xa0Jovian solar days']","[None, None, 'https://en.wikipedia.org/wiki/Solar_day']","[None, None, '[4]']"
Orbital characteristics[3],Orbital period (synodic),398.88 d,,
Orbital characteristics[3],Averageorbital speed,13.06 km/s,,
Orbital characteristics[3],Mean anomaly,20.020°,,[5]
Orbital characteristics[3],Inclination,"['1.303° to ecliptic', ""6.09° to Sun 's equator"", '0.32° to invariable plane']","['https://en.wikipedia.org/wiki/Ecliptic', 'https://en.wikipedia.org/wiki/Sun, https://en.wikipedia.org/wiki/Equator', 'https://en.wikipedia.org/wiki/Invariable_plane']","['[5]', '[5]', '[6]']"
Orbital characteristics[3],Longitude of ascending node,100.464°,,
Orbital characteristics[3],Time of perihelion,"January 21, 2023",,[7]
Orbital characteristics[3],Argument of perihelion,273.867°,,[5]
Orbital characteristics[3],Knownsatellites,115,,"[update], [8]"
Physical characteristics[3][9][10],Mean radius,69 886 ± 0.4 km 10.969 x of Earth,,"[c], [11]"
Physical characteristics[3][9][10],Equatorialradius,"[""11.208\xa0x of Earth's"", ""0.102 75 x of Sun's""]","['https://en.wikipedia.org/wiki/Equatorial_radius', 'https://en.wikipedia.org/wiki/Solar_radius']","[None, None]"
Physical characteristics[3][9][10],Polarradius,66 842 ± 0.4 km 10.516 x of Earth's,,"[c], [11]"
Physical characteristics[3][9][10],Flattening,0.06499,,
Physical characteristics[3][9][10],Surface area,6.1457 × 10 10 km 2 120.5 × of Earth's,https://en.wikipedia.org/wiki/Surface_area_of_earth,
Physical characteristics[3][9][10],Volume,"1.4309 × 10 15 km 3 1,321 × of Earth's",https://en.wikipedia.org/wiki/Volume_of_Earth,[c]
Physical characteristics[3][9][10],Mass,"[""317.8\xa0× of Earth's"", ""0.000 95 × of Sun's""]","['https://en.wikipedia.org/wiki/Earth_mass', 'https://en.wikipedia.org/wiki/Solar_mass']","[None, '[13]']"
Physical characteristics[3][9][10],Meandensity,1.326 g/cm 3,,[d]
Physical characteristics[3][9][10],Surface gravity,24.79 m/s 2 2.528 g 0,,"[c], [14]"
Physical characteristics[3][9][10],Moment of inertia factor,0.2756 ± 0.0006,,[15]
Physical characteristics[3][9][10],Escape velocity,59.5 km/s,,[c]
Physical characteristics[3][9][10],Synodic rotation period,9.9258 h,,[4]
Physical characteristics[3][9][10],Sidereal rotation period,9.9250 hours,,
Physical characteristics[3][9][10],Equatorial rotation velocity,12.6 km/s,,
Physical characteristics[3][9][10],Axial tilt,3.13°,,
Physical characteristics[3][9][10],North poleright ascension,268.057°; 17 h 52 m 14 s,,[16]
Physical characteristics[3][9][10],North poledeclination,64.495°,,[16]
Physical characteristics[3][9][10],Albedo,"['0.503', '0.538']","['https://en.wikipedia.org/wiki/Bond_albedo', 'https://en.wikipedia.org/wiki/Geometric_albedo']","['[17]', '[18]']"
Physical characteristics[3][9][10],Temperature,88 K,https://en.wikipedia.org/wiki/Effective_temperature,
Physical characteristics[3][9][10],Apparent magnitude,−2.94 to −1.66,,"[19], [19]"
Physical characteristics[3][9][10],Absolute magnitude(H),−9.4,,[20]
Physical characteristics[3][9][10],Angular diameter,"29.8"" to 50.1""",,
Atmosphere[3],Surfacepressure,200–600 kPa,,[21]
Atmosphere[3],Scale height,27 km,,
Atmosphere[3],Composition by volume,"['89% ± 2.0% hydrogen', '10% ± 2.0% helium', '0.3% ± 0.1% methane', '0.026% ± 0.004% ammonia', '0.0028% ± 0.001% hydrogen deuteride', '0.0006% ± 0.0002% ethane', '0.0004% ± 0.0004% water']","['https://en.wikipedia.org/wiki/Hydrogen', 'https://en.wikipedia.org/wiki/Helium', 'https://en.wikipedia.org/wiki/Methane', 'https://en.wikipedia.org/wiki/Ammonia', 'https://en.wikipedia.org/wiki/Hydrogen_deuteride', 'https://en.wikipedia.org/wiki/Ethane', 'https://en.wikipedia.org/wiki/Water']","[None, None, None, None, None, None, None]"
