Category,Label,Value,Links,Citations
Discovery[2],Discovered by,"['Johann Galle', 'Urbain Le Verrier', 'John Couch Adams']","['https://en.wikipedia.org/wiki/Johann_Gottfried_Galle', 'https://en.wikipedia.org/wiki/Urbain_Le_Verrier', 'https://en.wikipedia.org/wiki/John_Couch_Adams']","[None, None, None]"
Discovery[2],Discovery date,23 September 1846,,
Designations,Pronunciation,"US : / ˈ n ɛ p t uː n / ⓘ , UK : /- tj uː n /","https://en.wikipedia.org/wiki/Help:IPA/English, https://en.wikipedia.org/wiki/Help:IPA/English",[3]
Designations,Named after,"Latin Neptunus , via French Neptune",,
Designations,Adjectives,"Neptunian, Poseidean",https://en.wikipedia.org/wiki/Help:IPA/English,"[4], [5]"
Designations,Symbol,",",,
Orbital characteristics[6][b],Aphelion,30.33 AU,,
Orbital characteristics[6][b],Perihelion,29.81 AU,,
Orbital characteristics[6][b],Semi-major axis,30.07 AU,,
Orbital characteristics[6][b],Eccentricity,0.008 678,,
Orbital characteristics[6][b],Orbital period (sidereal),"['164.8 yr', '60,195 days', '89,666 Neptunian solar days']","[None, None, 'https://en.wikipedia.org/wiki/Solar_day']","[None, None, '[7]']"
Orbital characteristics[6][b],Orbital period (synodic),367.49 days,,[8]
Orbital characteristics[6][b],Averageorbital speed,5.45 km/s,,[8]
Orbital characteristics[6][b],Mean anomaly,259.883°,,
Orbital characteristics[6][b],Inclination,1.770° to ecliptic 6.43° to Sun 's equator 0.74° to invariable plane,"https://en.wikipedia.org/wiki/Ecliptic, https://en.wikipedia.org/wiki/Sun, https://en.wikipedia.org/wiki/Invariable_plane",[9]
Orbital characteristics[6][b],Longitude of ascending node,131.783°,,
Orbital characteristics[6][b],Time of perihelion,2042-Sep-04,,[10]
Orbital characteristics[6][b],Argument of perihelion,273.187°,,
Orbital characteristics[6][b],Knownsatellites,16,,
Physical characteristics,Mean radius,"24,622 ± 19 km",,"[11], [c]"
Physical characteristics,Equatorialradius,24 760 .6 km,,[12]
Physical characteristics,Polarradius,24 285 .3 km,,[12]
Physical characteristics,Flattening,0.0171 ± 0.0013,,
Physical characteristics,Surface area,7.6183 × 10 9 km 2 14.94 Earths,,"[13], [c]"
Physical characteristics,Volume,6.254 × 10 13 km 3 57.74 Earths,,"[8], [c]"
Physical characteristics,Mass,× 10 26 kg 17.147 Earths 5.15 × 10 −5 Suns,,[14]
Physical characteristics,Meandensity,1.638 g/cm 3,,"[8], [d]"
Physical characteristics,Surface gravity,11.27 m/s 2,,"[8], [c]"
Physical characteristics,Moment of inertia factor,0.23,,[15]
Physical characteristics,Escape velocity,23.5 km/s,,"[8], [c]"
Physical characteristics,Synodic rotation period,0.671 25 d 16 h 6 m 36 s,,[7]
Physical characteristics,Sidereal rotation period,0.673 day 16 h 6 min 36 s,,[8]
Physical characteristics,Equatorial rotation velocity,2.68 km/s,,[16]
Physical characteristics,Axial tilt,28.32°,,[8]
Physical characteristics,North poleright ascension,19 h 57 m 20 s 299.36°,,"[11], [17]"
Physical characteristics,North poledeclination,43.46°,,[17]
Physical characteristics,Albedo,0.290 0.442,"https://en.wikipedia.org/wiki/Bond_albedo, https://en.wikipedia.org/wiki/Geometric_albedo","[18], [19]"
Physical characteristics,Apparent magnitude,7.67 to 8.00,,"[20], [20]"
Physical characteristics,Absolute magnitude(H),−6.9,,[21]
Physical characteristics,Angular diameter,2.2–2.4″,,"[8], [22]"
Atmosphere[8],Scale height,19.7 ± 0.6 km,,
Atmosphere[8],Composition by volume,"['80% ± 3.2% hydrogen', '19% ± 3.2% helium', '1.5% ± 0.5% methane', '~0.019% hydrogen deuteride', '~0.00015% ethane', 'Icy volatiles : ammonia water ice ammonium hydrosulfide', 'ammonia', 'water ice', 'ammonium hydrosulfide']","['https://en.wikipedia.org/wiki/Hydrogen', 'https://en.wikipedia.org/wiki/Helium', 'https://en.wikipedia.org/wiki/Methane', 'https://en.wikipedia.org/wiki/Hydrogen_deuteride', 'https://en.wikipedia.org/wiki/Ethane', 'https://en.wikipedia.org/wiki/Volatile_(astrogeology), https://en.wikipedia.org/wiki/Ammonia, https://en.wikipedia.org/wiki/Ice, https://en.wikipedia.org/wiki/Ammonium_hydrosulfide', 'https://en.wikipedia.org/wiki/Ammonia', 'https://en.wikipedia.org/wiki/Ice', 'https://en.wikipedia.org/wiki/Ammonium_hydrosulfide']","[None, None, None, None, None, None, None, None, None]"
