Category,Label,Value,Links,Citations
Designations,Pronunciation,/ ˈ s æ t ər n / ⓘ,https://en.wikipedia.org/wiki/Help:IPA/English,[1]
Designations,Named after,Saturn,https://en.wikipedia.org/wiki/Saturn_(mythology),
Designations,Adjectives,"Saturnian / s ə ˈ t ɜːr n i ə n / , Cronian / Kronian / ˈ k r oʊ n i ə n /","https://en.wikipedia.org/wiki/Help:IPA/English, https://en.wikipedia.org/wiki/Help:IPA/English","[2], [3], [4], [5]"
Orbital characteristics[6],Aphelion,"1,514.50 million km",,
Orbital characteristics[6],Perihelion,"1,352.55 million km",,
Orbital characteristics[6],Semi-major axis,"1,433.53 million km",,
Orbital characteristics[6],Eccentricity,0.0565,,
Orbital characteristics[6],Orbital period (sidereal),"['29.4475 yr', '10,755.70\xa0d', '24,225 Saturnian solar days']","[None, None, 'https://en.wikipedia.org/wiki/Solar_day']","[None, None, '[7]']"
Orbital characteristics[6],Orbital period (synodic),378.09 days,,
Orbital characteristics[6],Averageorbital speed,9.68 km/s,,
Orbital characteristics[6],Mean anomaly,317.020°,,[8]
Orbital characteristics[6],Inclination,"['2.485° to ecliptic', ""5.51° to Sun 's equator"", '0.93° to invariable plane']","['https://en.wikipedia.org/wiki/Ecliptic', 'https://en.wikipedia.org/wiki/Sun, https://en.wikipedia.org/wiki/Equator', 'https://en.wikipedia.org/wiki/Invariable_plane']","['[8]', '[8]', '[9]']"
Orbital characteristics[6],Longitude of ascending node,113.665°,,
Orbital characteristics[6],Time of perihelion,2032-Nov-29,,[10]
Orbital characteristics[6],Argument of perihelion,339.392°,,[8]
Orbital characteristics[6],Knownsatellites,292 with formal designations; innumerable additional moonlets .,https://en.wikipedia.org/wiki/Moonlet,[11]
Physical characteristics[6],Mean radius,58 232 ± 6 km 9.1402 Earths,,[12]
Physical characteristics[6],Equatorialradius,"['60 268 km', '9.449 Earths']","[None, None]","['[b]', None]"
Physical characteristics[6],Polarradius,"['54 364 km', '8.552\xa0Earths']","[None, None]","['[b]', None]"
Physical characteristics[6],Flattening,0.097 96,,
Physical characteristics[6],Circumference,365 882 .4 km,https://en.wikipedia.org/wiki/Equator,[13]
Physical characteristics[6],Surface area,"['4.27 × 10 10 km 2', '83.703\xa0Earths']","[None, None]","['[14], [b]', None]"
Physical characteristics[6],Volume,"['8.2713 × 10 14 km 3', '763.59\xa0Earths']","[None, None]","['[b]', None]"
Physical characteristics[6],Mass,"['× 10 26 kg', '95.159\xa0Earths']","[None, None]","[None, None]"
Physical characteristics[6],Meandensity,0.6871 ± 0.0002 g/cm 3 0.1246 Earths,,[12]
Physical characteristics[6],Surface gravity,10.44 m/s 2 1.065 g 0,,[b]
Physical characteristics[6],Moment of inertia factor,0.22,,[15]
Physical characteristics[6],Escape velocity,35.5 km/s,,[b]
Physical characteristics[6],Synodic rotation period,"10 h 32 m 36 s; 10.5433 hours, 10 h 39 m; 10.7 hours",,"[16], [7]"
Physical characteristics[6],Sidereal rotation period,10 h 33 m 38 s + 1 m 52 s − 1 m 19 s,,"[17], [18]"
Physical characteristics[6],Equatorial rotation velocity,9.87 km/s,,[b]
Physical characteristics[6],Axial tilt,26.73°,,
Physical characteristics[6],North poleright ascension,40.589°; 2 h 42 m 21 s,,[19]
Physical characteristics[6],North poledeclination,83.537°,,[19]
Physical characteristics[6],Albedo,"['0.342', '0.499']","['https://en.wikipedia.org/wiki/Bond_albedo', 'https://en.wikipedia.org/wiki/Geometric_albedo']","['[20]', '[21]']"
Physical characteristics[6],Apparent magnitude,−0.55 to +1.17,,"[24], [24]"
Physical characteristics[6],Absolute magnitude(H),−9.7,,[25]
Physical characteristics[6],Angular diameter,14.5″ to 20.1″,,
Atmosphere[6],Surfacepressure,>>1000 bars,,[26]
Atmosphere[6],Scale height,59.5 km,,
Atmosphere[6],Composition by volume,"['96.3% ± 2.4% hydrogen', '3.25% ± 2.4% helium', '0.45% ± 0.2% methane', '0.0125% ± 0.0075% ammonia', '0.0110% ± 0.0058% hydrogen deuteride', '0.0007% ± 0.00015% ethane', 'Icy volatiles : ammonia water ice ammonium hydrosulfide', 'ammonia', 'water ice', 'ammonium hydrosulfide']","['https://en.wikipedia.org/wiki/Hydrogen', 'https://en.wikipedia.org/wiki/Helium', 'https://en.wikipedia.org/wiki/Methane', 'https://en.wikipedia.org/wiki/Ammonia', 'https://en.wikipedia.org/wiki/Hydrogen_deuteride', 'https://en.wikipedia.org/wiki/Ethane', 'https://en.wikipedia.org/wiki/Volatile_(astrogeology), https://en.wikipedia.org/wiki/Ammonia, https://en.wikipedia.org/wiki/Ice, https://en.wikipedia.org/wiki/Ammonium_hydrosulfide', 'https://en.wikipedia.org/wiki/Ammonia', 'https://en.wikipedia.org/wiki/Ice', 'https://en.wikipedia.org/wiki/Ammonium_hydrosulfide']","[None, None, None, None, None, None, None, None, None, None]"
