Category,Label,Value,Links,Citations
Discovery,Discovered by,William Herschel,https://en.wikipedia.org/wiki/William_Herschel,
Discovery,Discovery date,13 March 1781,,
Designations,Pronunciation,/ ˈ jʊər ə n ə s / ⓘ or / j ʊ ˈ r eɪ n ə s / ⓘ,"https://en.wikipedia.org/wiki/Help:IPA/English, https://en.wikipedia.org/wiki/Help:IPA/English","[1], [2]"
Designations,Named after,the Latin form Ūranus of the Greek god Οὐρανός Ouranos,https://en.wikipedia.org/wiki/Uranus_(mythology),
Designations,Adjectives,Uranian,https://en.wikipedia.org/wiki/Help:IPA/English,[3]
Designations,Symbol,",",,
Orbital characteristics[4][b],Aphelion,20.0965 AU,https://en.wikipedia.org/wiki/1000000000_(number),
Orbital characteristics[4][b],Perihelion,18.2861 AU,,
Orbital characteristics[4][b],Semi-major axis,19.191 26 AU,,
Orbital characteristics[4][b],Eccentricity,0.047 17,,
Orbital characteristics[4][b],Orbital period (sidereal),"['84.0205 yr', '30,688.5\xa0d', '42,718 Uranian solar days']","[None, None, 'https://en.wikipedia.org/wiki/Solar_day']","[None, '[5]', '[6]']"
Orbital characteristics[4][b],Orbital period (synodic),369.66 days,,[7]
Orbital characteristics[4][b],Averageorbital speed,6.80 km/s,,[7]
Orbital characteristics[4][b],Mean anomaly,142.238 600 °,,
Orbital characteristics[4][b],Inclination,"['0.773° to ecliptic', ""6.48° to Sun 's equator"", '0.99° to invariable plane']","['https://en.wikipedia.org/wiki/Ecliptic', 'https://en.wikipedia.org/wiki/Sun, https://en.wikipedia.org/wiki/Equator', 'https://en.wikipedia.org/wiki/Invariable_plane']","[None, None, '[8]']"
Orbital characteristics[4][b],Longitude of ascending node,74.006°,,
Orbital characteristics[4][b],Time of perihelion,17–19 August 2050,,"[9], [10]"
Orbital characteristics[4][b],Argument of perihelion,96.998 857 °,,
Orbital characteristics[4][b],Knownsatellites,29,,
Physical characteristics,Mean radius,"25,362 ± 7 km",,"[11], [c]"
Physical characteristics,Equatorialradius,25 556 .6 km,,[12]
Physical characteristics,Polarradius,24 968 .5 ± 0.4 km,,[12]
Physical characteristics,Flattening,0.0229 ± 0.0008,,[d]
Physical characteristics,Circumference,"159,354.1 km",,[5]
Physical characteristics,Surface area,8.1156 × 10 9 km 2 15.91 Earths,,"[5], [c]"
Physical characteristics,Volume,6.833 × 10 13 km 3 63.086 Earths,,"[7], [c]"
Physical characteristics,Mass,"× 10 25 kg 14.536 Earths GM = 5,793,939 ± 13 km 3 /s 2",,[13]
Physical characteristics,Meandensity,1.27 g/cm 3,,"[7], [e]"
Physical characteristics,Surface gravity,8.69 m/s 2,,"[7], [c]"
Physical characteristics,Moment of inertia factor,0.23,,[14]
Physical characteristics,Escape velocity,21.3 km/s,,"[7], [c]"
Physical characteristics,Synodic rotation period,−0.718 649 d − 17 h 14 m 51 s,https://en.wikipedia.org/wiki/Retrograde_motion,
Physical characteristics,Sidereal rotation period,−0.718 661 d − 17 h 14 m 52.310 s ± 0.036 s,,[15]
Physical characteristics,Equatorial rotation velocity,2.59 km/s,,
Physical characteristics,Axial tilt,82.23°. 97.77°,,[7]
Physical characteristics,North poleright ascension,17 h 9 m 15 s 257.311°,,"[11], [16]"
Physical characteristics,North poledeclination,−15.175°,,"[11], [16]"
Physical characteristics,Albedo,0.300 0.488,"https://en.wikipedia.org/wiki/Bond_albedo, https://en.wikipedia.org/wiki/Geometric_albedo","[17], [18]"
Physical characteristics,Apparent magnitude,5.38 to 6.03,,"[21], [21]"
Physical characteristics,Absolute magnitude(H),−7.2,,[22]
Physical characteristics,Angular diameter,3.3″ to 4.1″,,[7]
Atmosphere[20][23][24][f],Scale height,27.7 km,,[7]
Atmosphere[20][23][24][f],Composition by volume,"['83\xa0±\xa03% hydrogen', '15\xa0±\xa03% helium', '2.3% methane', '0.009% hydrogen deuteride', 'hydrogen sulfide', 'ammonia', 'water ice', 'ammonium hydrosulfide', 'methane hydrate']","['https://en.wikipedia.org/wiki/Hydrogen', 'https://en.wikipedia.org/wiki/Helium', 'https://en.wikipedia.org/wiki/Methane', 'https://en.wikipedia.org/wiki/Hydrogen_deuteride', 'https://en.wikipedia.org/wiki/Hydrogen_sulfide, https://en.wikipedia.org/wiki/Trace_element', 'https://en.wikipedia.org/wiki/Ammonia', 'https://en.wikipedia.org/wiki/Ice', 'https://en.wikipedia.org/wiki/Ammonium_hydrosulfide', 'https://en.wikipedia.org/wiki/Methane_hydrate']","[None, None, None, None, None, None, None, None, None]"
