Category,Label,Value,Links,Citations
Designations,Pronunciation,/ ˈ v iː n ə s / ⓘ,https://en.wikipedia.org/wiki/Help:IPA/English,
Designations,Named after,Venus,https://en.wikipedia.org/wiki/Venus_(mythology),
Designations,Adjectives,"Venusian / v ɪ ˈ nj uː z i ə n , - ʒ ə n / , rarely Cytherean / s ɪ θ ə ˈ r iː ə n / or Venerean / Venerian / v ɪ ˈ n ɪər i ə n /","https://en.wikipedia.org/wiki/Venusian_(disambiguation), https://en.wikipedia.org/wiki/Help:IPA/English, https://en.wikipedia.org/wiki/Cytherean, https://en.wikipedia.org/wiki/Help:IPA/English, https://en.wikipedia.org/wiki/Help:IPA/English","[3], [4], [5]"
Orbital characteristics[6][7],Aphelion,0.728213 AU,,
Orbital characteristics[6][7],Perihelion,0.718440 AU,,
Orbital characteristics[6][7],Semi-major axis,0.723332 AU,,
Orbital characteristics[6][7],Eccentricity,0.006772,,[8]
Orbital characteristics[6][7],Orbital period (sidereal),"['224.701\xa0d', '0.615 198 Julian year', '0.615 187 sidereal year', '1.92 Venus solar day']","[None, 'https://en.wikipedia.org/wiki/Julian_year_(astronomy)', 'https://en.wikipedia.org/wiki/Sidereal_year', 'https://en.wikipedia.org/wiki/Solar_day']","['[6]', None, None, None]"
Orbital characteristics[6][7],Orbital period (synodic),583.92 days,,[6]
Orbital characteristics[6][7],Averageorbital speed,35.02 km/s,,
Orbital characteristics[6][7],Mean anomaly,50.115°,,
Orbital characteristics[6][7],Inclination,"['3.394 58 ° to ecliptic', ""3.86° to Sun 's equator"", '2.15° to invariable plane']","['https://en.wikipedia.org/wiki/Ecliptic', 'https://en.wikipedia.org/wiki/Sun, https://en.wikipedia.org/wiki/Equator', 'https://en.wikipedia.org/wiki/Invariable_plane']","[None, None, '[9]']"
Orbital characteristics[6][7],Longitude of ascending node,76.680°,,[8]
Orbital characteristics[6][7],Argument of perihelion,54.884°,,
Orbital characteristics[6][7],Satellites,None,,
Physical characteristics,Mean radius,"['6,051.8 ± 1.0\xa0km', '0.9499\xa0Earths']","[None, None]","['[10]', None]"
Physical characteristics,Flattening,0,,[10]
Physical characteristics,Surface area,"['4.6023 × 10 8 km 2', '0.902 Earths']","[None, None]","[None, None]"
Physical characteristics,Volume,"['9.2843 × 10 11 km 3', '0.857 Earths']","[None, None]","[None, None]"
Physical characteristics,Mass,"['× 10 24 kg', '0.815 Earths']","[None, None]","['[11]', None]"
Physical characteristics,Meandensity,5.243 g/cm 3,,
Physical characteristics,Surface gravity,8.87 m/s 2,,
Physical characteristics,Escape velocity,10.36 km/s,,[12]
Physical characteristics,Synodic rotation period,−116.75 d 1 Venus solar day,https://en.wikipedia.org/wiki/Retrograde_motion,[13]
Physical characteristics,Sidereal rotation period,−243.0226 d,,[14]
Physical characteristics,Equatorial rotation velocity,1.81 m/s,,
Physical characteristics,Axial tilt,2.64° 177.36°,https://en.wikipedia.org/wiki/Retrograde_motion,"[6], [note 1]"
Physical characteristics,North poleright ascension,"['18 h 11 m 2 s', '272.76°']","[None, None]","[None, '[15], [16]']"
Physical characteristics,North poledeclination,67.16°,,[16]
Physical characteristics,Albedo,"['0.689', '0.76']","['https://en.wikipedia.org/wiki/Geometric_albedo', 'https://en.wikipedia.org/wiki/Bond_albedo']","['[17]', '[18]']"
Physical characteristics,Temperature,232 K,https://en.wikipedia.org/wiki/Effective_temperature,[19]
Physical characteristics,Surfaceabsorbed doserate,2.1 × 10 −6 μGy/h,,[20]
Physical characteristics,Surfaceequivalent doserate,2.2 × 10 −6 μSv/h 0.092–22 μSv/h at cloud level,,[20]
Physical characteristics,Apparent magnitude,−4.92 to −2.98,,[21]
Physical characteristics,Absolute magnitude(H),−4.4,,[22]
Physical characteristics,Angular diameter,9.7″–66.0″,,[6]
Atmosphere[6],Surfacepressure,93 bar 92 atm,"https://en.wikipedia.org/wiki/Bar_(unit), https://en.wikipedia.org/wiki/Pascal_(unit), https://en.wikipedia.org/wiki/Atmosphere_(unit)",
Atmosphere[6],Composition by volume,"['96.5% carbon dioxide', '3.5% nitrogen', '0.015% sulphur dioxide', '0.0070% argon', '0.0020% water vapour', '0.0017% carbon monoxide', '0.0012% helium', '0.0007% neon', 'Trace carbonyl sulfide', 'Trace hydrogen chloride', 'Trace hydrogen fluoride']","['https://en.wikipedia.org/wiki/Carbon_dioxide', 'https://en.wikipedia.org/wiki/Nitrogen', 'https://en.wikipedia.org/wiki/Sulphur_dioxide', 'https://en.wikipedia.org/wiki/Argon', 'https://en.wikipedia.org/wiki/Water_vapour', 'https://en.wikipedia.org/wiki/Carbon_monoxide', 'https://en.wikipedia.org/wiki/Helium', 'https://en.wikipedia.org/wiki/Neon', 'https://en.wikipedia.org/wiki/Carbonyl_sulfide', 'https://en.wikipedia.org/wiki/Hydrogen_chloride', 'https://en.wikipedia.org/wiki/Hydrogen_fluoride']","[None, None, None, None, None, None, None, None, None, None, None]"
